Nombre del local,ID de pedido,ID del restaurante,Método de entrega,Forma de pago,Estado del pedido,Fecha del pedido,Aceptado en,Lista para retiro,Rider near pickup at,Enviado a,Entregado en,Cancelado en,Motivo de rechazo,Tipo de rechazo,Total del pedido,Tarifa mínima por pedido,Vendor Refunds,Descuentos subsidiados por la tienda,Voucher subsidiado por la tienda,Servicio PedidosYa,Cargos,Joker Fee,Is Payable,Is Paid,Ingreso estimado,Cash amount already collected by vendor,Monto adeudado a PedidosYa,Payout Amount,PedidosYa-Funded Discount,PedidosYa-Funded Voucher,Total Discount,Total Voucher,Tax Amount,Artículos
Starbucks Acropolis,1200859499,235038,Plataforma de entrega,Online,Entregado,2024-06-12 11:39,2024-06-12 11:39,,2024-06-12 11:43,2024-06-12 11:46,2024-06-12 11:53,,,,"655,00","0,00","0,00","0,00","0,00","104,80","0,00","0,00",,,"547,84","0,00","0,00","547,84","0,00","0,00","0,00","0,00","0,00","1 Caramel Frappuccino [1 Grande 16oz, 1 Deslactosada], 2 Chocolate Chip Cookies"
Starbucks Acropolis,1200863858,235038,Plataforma de entrega,Online,Entregado,2024-06-12 12:21,2024-06-12 12:21,,2024-06-12 12:25,2024-06-12 12:28,2024-06-12 12:33,,,,"620,00","0,00","0,00","0,00","0,00","99,20","0,00","0,00",,,"518,57","0,00","0,00","518,57","0,00","0,00","0,00","0,00","0,00","1 Mango Dragonfruit Lemonade [1 Grande 16oz], 1 Strawberry Açaí Frozen Refresher [1 Grande (16oz)]"
Starbucks Acropolis,1200868773,235038,Plataforma de entrega,Online,Entregado,2024-06-12 12:13,2024-06-12 12:14,,2024-06-12 12:20,2024-06-12 12:21,2024-06-12 12:30,,,,"510,00","0,00","0,00","0,00","0,00","81,60","0,00","0,00",,,"426,56","0,00","0,00","426,56","105,00","0,00","105,00","0,00","0,00","2 Cold Brew Vanilla Sweet Cream [1 Alto  12oz, 1 Splenda]"
Starbucks Acropolis,1200873886,235038,Plataforma de entrega,Online,Entregado,2024-06-12 13:01,2024-06-12 13:01,,2024-06-12 13:04,2024-06-12 13:13,2024-06-12 13:18,,,,"885,00","0,00","0,00","0,00","0,00","141,60","0,00","0,00",,,"740,21","0,00","0,00","740,21","0,00","0,00","0,00","0,00","0,00","3 Caramel Frappuccino [1 Alto  12oz, 1 Entera]"
Starbucks Acropolis,1200938551,235038,Plataforma de entrega,Online,Entregado,2024-06-12 13:02,2024-06-12 13:02,,2024-06-12 13:04,2024-06-12 13:13,2024-06-12 13:25,,,,"790,00","0,00","0,00","0,00","0,00","126,40","0,00","0,00",,,"660,76","0,00","0,00","660,76","40,00","0,00","40,00","0,00","0,00","1 Chai Tea Latte [1 No, 1 Grande 16oz, 1 Caliente, 1 Entera, 1 Sin Azúcar], 1 Strawberry Acai Lemonade [1 Venti 20oz], 1 Palomitas Starbucks®"
Starbucks Acropolis,1200940034,235038,Plataforma de entrega,Online,Entregado,2024-06-12 13:09,2024-06-12 13:09,,2024-06-12 13:18,2024-06-12 13:25,2024-06-12 13:34,,,,"885,00","0,00","0,00","0,00","0,00","141,60","0,00","0,00",,,"740,21","0,00","0,00","740,21","0,00","0,00","0,00","0,00","0,00","3 Caramel Frappuccino [1 Si, 1 Entera, 1 Alto  12oz]"
Starbucks Acropolis,1200970514,235038,Plataforma de entrega,Online,Entregado,2024-06-12 13:35,2024-06-12 13:35,,2024-06-12 13:39,2024-06-12 13:53,2024-06-12 14:14,,,,"495,00","0,00","0,00","0,00","0,00","79,20","0,00","0,00",,,"414,02","0,00","0,00","414,02","42,50","0,00","42,50","0,00","0,00","1 Matcha Latte [1 Stevia, 1 Mezclada, 1 Alto  12oz, 1 Caliente, 1 Almond Milk], 1 Lemon Loaf"
Starbucks Acropolis,1200991998,235038,Plataforma de entrega,Online,Entregado,2024-06-12 14:21,2024-06-12 14:21,,2024-06-12 14:24,2024-06-12 14:31,2024-06-12 14:37,,,,"1.335,00","0,00","0,00","0,00","0,00","213,60","0,00","0,00",,,"1.116,59","0,00","0,00","1.116,59","0,00","0,00","0,00","0,00","0,00","1 Americano [1 Caliente, 1 Semidescremada, 1 Sin Azúcar, 1 Grande 16oz], 4 Cold Brew Black [1 Sin Azúcar, 1 Grande 16oz]"
Starbucks Acropolis,1201015696,235038,Plataforma de entrega,Online,Entregado,2024-06-12 14:58,2024-06-12 14:58,,2024-06-12 15:02,2024-06-12 15:16,2024-06-12 15:21,,,,"420,00","0,00","0,00","0,00","0,00","67,20","0,00","0,00",,,"351,29","0,00","0,00","351,29","0,00","0,00","0,00","0,00","0,00","1 Vanilla Bean Latte [1 Venti 20oz, 1 Almendras]"
Starbucks Acropolis,1201017972,235038,Plataforma de entrega,Online,Entregado,2024-06-12 15:15,2024-06-12 15:15,,2024-06-12 15:17,2024-06-12 15:19,2024-06-12 17:24,,,,"440,00","0,00","0,00","0,00","0,00","70,40","0,00","0,00",,,"368,02","0,00","0,00","368,02","0,00","0,00","0,00","0,00","0,00","1 Caramel Frappuccino [1 Si, 1 Entera, 1 Alto  12oz], 1 Chocolate Chip Cookies"
