Nombre del local,ID de pedido,ID del restaurante,Método de entrega,Forma de pago,Estado del pedido,Fecha del pedido,Aceptado en,Lista para retiro,Rider near pickup at,Enviado a,Entregado en,Cancelado en,Motivo de rechazo,Tipo de rechazo,Total del pedido,Tarifa mínima por pedido,Vendor Refunds,Descuentos subsidiados por la tienda,Voucher subsidiado por la tienda,Servicio PedidosYa,Cargos,Joker Fee,Is Payable,Is Paid,Ingreso estimado,Cash amount already collected by vendor,Monto adeudado a PedidosYa,Payout Amount,PedidosYa-Funded Discount,PedidosYa-Funded Voucher,Total Discount,Total Voucher,Tax Amount,Artículos
Starbucks Galería 360,1189823031,183569,Plataforma de entrega,Online,Entregado,2024-06-01 14:14,2024-06-01 14:15,,2024-06-01 14:18,2024-06-01 14:24,2024-06-01 14:30,,,,"400,00","0,00","0,00","0,00","0,00","64,00","0,00","0,00",,,"334,56","0,00","0,00","334,56","0,00","0,00","0,00","0,00","0,00","1 Java Chip Frappuccino® [1 Grande 16oz, 1 Almond Milk]"
Starbucks Galería 360,1189864397,183569,Plataforma de entrega,Online,Entregado,2024-06-01 14:52,2024-06-01 14:53,,2024-06-01 14:56,2024-06-01 15:05,2024-06-01 15:12,,,,"430,00","0,00","0,00","0,00","0,00","68,80","0,00","0,00",,,"359,65","0,00","0,00","359,65","17,50","0,00","17,50","0,00","0,00","1 Matcha Créme Frappucino [1 Venti 20oz, 1 Coconut]"
Starbucks Galería 360,1189918893,183569,Plataforma de entrega,Efectivo,Entregado,2024-06-01 15:21,2024-06-01 15:21,,2024-06-01 15:21,2024-06-01 15:28,2024-06-01 15:41,,,,"380,00","0,00","0,00","0,00","0,00","60,80","112,10","0,00",,,"205,73","0,00","0,00","205,73","0,00","0,00","0,00","0,00","0,00","1 Caramel Macchiato [1 No, 1 Caramelo, 1 Blanca, 1 Mezclada, 1 Grande 16oz, 1 Caliente, 1 Entera]"
Starbucks Galería 360,1189920309,183569,Plataforma de entrega,Online,Entregado,2024-06-01 15:29,2024-06-01 15:29,,2024-06-01 15:33,2024-06-01 15:39,2024-06-01 15:44,,,,"275,00","0,00","0,00","0,00","0,00","44,00","0,00","0,00",,,"230,01","0,00","0,00","230,01","87,50","0,00","87,50","0,00","0,00",1 Strawberry Acai [1 Grande 16oz]
Starbucks Galería 360,1189928045,183569,Plataforma de entrega,Online,Entregado,2024-06-01 15:28,2024-06-01 15:29,,2024-06-01 15:33,2024-06-01 15:39,2024-06-01 15:56,,,,"520,00","0,00","0,00","0,00","0,00","83,20","0,00","0,00",,,"434,93","0,00","0,00","434,93","0,00","0,00","0,00","0,00","0,00","1 Caramel Macchiato [1 Sin Azúcar, 1 Grande 16oz, 1 Fria, 1 Deslactosada], 1 Lemon Loaf"
Starbucks Galería 360,1189995211,183569,Plataforma de entrega,Efectivo,Entregado,2024-06-01 15:42,2024-06-01 15:43,,2024-06-01 15:51,2024-06-01 15:56,2024-06-01 16:36,,,,"480,00","0,00","0,00","0,00","0,00","76,80","0,00","0,00",,,"401,47","0,00","0,00","401,47","0,00","0,00","0,00","0,00","0,00","1 Café Latte [1 Entera, 1 Venti 20oz, 1 Caliente], 1 Brownie de Chocolate"
Starbucks Galería 360,1189995294,183569,Plataforma de entrega,Online,Entregado,2024-06-01 15:44,2024-06-01 15:45,,2024-06-01 15:51,2024-06-01 15:53,2024-06-01 16:00,,,,"820,00","0,00","0,00","0,00","0,00","131,20","0,00","0,00",,,"685,85","0,00","0,00","685,85","0,00","0,00","0,00","0,00","0,00","1 Espresso Frappuccino® [1 Grande 16oz, 1 Si, 1 Almond Milk], 1 Chocolate Cookies & Créme Frappuccino® [1 Grande (16oz), 1 Si]"
Starbucks Galería 360,1190001456,183569,Plataforma de entrega,Online,Entregado,2024-06-01 16:19,2024-06-01 16:19,,2024-06-01 16:23,2024-06-01 16:28,2024-06-01 16:40,,,,"380,00","0,00","0,00","0,00","0,00","60,80","0,00","0,00",,,"317,83","0,00","0,00","317,83","95,00","0,00","95,00","0,00","0,00","1 Café Latte [1 Caliente, 1 Entera, 1 No, 1 Caramelo, 1 No, 1 Venti 20oz]"
Starbucks Galería 360,1190001783,183569,Plataforma de entrega,Online,Entregado,2024-06-01 16:19,2024-06-01 16:19,,2024-06-01 16:23,2024-06-01 16:28,2024-06-01 16:56,,,,"420,00","0,00","0,00","0,00","0,00","67,20","0,00","0,00",,,"351,29","0,00","0,00","351,29","0,00","0,00","0,00","0,00","0,00","1 Key Lime Pie Frappuccino® [1 Grande (16oz), 1 Entera, 1 Si]"
Starbucks Galería 360,1190054007,183569,Plataforma de entrega,Efectivo,Entregado,2024-06-01 17:02,2024-06-01 17:02,,2024-06-01 17:11,2024-06-01 17:15,2024-06-01 17:27,,,,"690,00","0,00","0,00","0,00","0,00","110,40","0,00","0,00",,,"577,12","0,00","0,00","577,12","0,00","0,00","0,00","0,00","0,00","1 Mango Dragonfruit Lemonade [1 Grande 16oz], 1 Iced Chocolate Shaken Espresso [1 Grande (16oz)]"
